Rank,English Spelling,Latin Spelling,Alternative Spelling 1,Alternative Spelling 2,,,,,
Kingdom,kingdom,regnum,,,,,,,
Subkingdom,subkingdom,subregnum,,,,,,,
Superphylum,superphylum,superdivisio,superdivision,,,,,,
Phylum,phylum,divisio,division,,,,,,
Subdivision,subphylum,subdivisio,subdivision,        ,,,,,
Infraphylum,infraphylum,infradivisio,infradivision,,,,,,
Superclass,superclass,superclassis,,,,,,,
Class,class,classis,,,,,,,
Subclass,subclass,subclassis,,,,,,,
Infraclass,infraclass,infraclassis,,,,,,,
Superorder,superorder,superordo,,,,,,, 
Order,order,ordo,,,,,,,
Suborder,suborder,subordo,,,,,,,
Infraorder,infraorder,infraordo,,,,,,,
Parvorder,parvorder,parvordo,,,,,,,
Superfamily,superfamily,superfamilia,,,,,,,
Family,family,familia,famil,,,,,,
Subfamily,subfamily,subfamilia,,,,,,,
Supertribe,supertribe,,,,,,,,
Tribe,tribe,tribus,tribes,,,,,,
Subtribe,Subtribe,subtribus,cohort,subtrib,,,,,
Genus,genus,,genera,,,,,,
Subgenus,subgenus,,subgenera,,,,,,
Supersection,supersection,supersectio,,,,,,,
Section,section,,,,,,,,
Subsection,subsection,sectio,,,,,,,
Series,series,,,,,,,,
Subseries,subseries,,,,,,,,
Superspecies,superspecies,,,,,,,,
Species,species,,,,,,,,
Subspecies,subspecies,,,,,,,,
Variety,variety,varietas,variation,,,,,,
Subvariety,subvariety,subvarietas,subvariation,,,,,,
Form,form,forma,aberration,race,,,,,
Subform,subform,subforma,subaberation,subrace,,,,,
Hybrid,hybrid,,,,,,,,
Vernacular name,vernacular name,,,,,,,,
,,,,,,,              ,,
,,,,,,,,,
,,,,,,,          ,,
,,,,,,,                   ,,
,,,,,,,,,
,,,,,,,       ,,
,,,,,,,,,
,,,,,,,       ,,
